forecast_date,product_code,predicted_sales
2026-01-04,P1,12.604103132551794
2026-01-11,P1,12.7964555245845
2026-01-18,P1,10.482072222374777
2026-01-25,P1,9.472032258319503
2026-02-01,P1,10.828493362734303
2026-02-08,P1,14.284015323907571
2026-02-15,P1,16.104949403251613
2026-02-22,P1,14.284015323907571
2026-03-01,P1,12.04439466570388
2026-03-08,P1,11.019624598088178
2026-03-15,P1,12.800746621401913
2026-03-22,P1,14.242995735611155
2026-03-29,P1,14.11511596925884
2026-04-05,P1,12.048451849836091
2026-04-12,P1,10.787384494932956
2026-04-19,P1,10.737477996480514
2026-04-26,P1,10.74667871739066
2026-05-03,P1,9.78961500434741
2026-05-10,P1,7.661128903173037
2026-05-17,P1,6.620924913258839
2026-05-24,P1,7.092723665231251
2026-05-31,P1,8.56248768398798
2026-06-07,P1,10.208355535510481
2026-06-14,P1,9.68060131240897
2026-06-21,P1,8.189510682518062
2026-06-28,P1,7.667602900664815
2026-07-05,P1,8.129982353473057
2026-07-12,P1,8.10947312905703
2026-07-19,P1,8.477185681178188
2026-07-26,P1,8.789080862570364
2026-08-02,P1,8.989036889332432
2026-08-09,P1,9.91458090569348
2026-08-16,P1,10.045573268537343
2026-08-23,P1,8.986575454850847
2026-08-30,P1,8.247418550249996
2026-09-06,P1,7.921572514205367
2026-09-13,P1,9.481741067400186
2026-09-20,P1,12.053805353333065
2026-09-27,P1,14.078129072703554
2026-10-04,P1,13.439993696088207
2026-10-11,P1,11.625244716357185
2026-10-18,P1,8.605130901068438
2026-10-25,P1,7.1871915032040805
2026-11-01,P1,6.615148337180812
2026-11-08,P1,7.629862648893049
2026-11-15,P1,9.47070465383926
2026-11-22,P1,10.038700934864153
2026-11-29,P1,8.376530051982805
2026-12-06,P1,6.201050926846876
2026-12-13,P1,4.717852986325879
2026-12-20,P1,5.401741091052542
2026-12-27,P1,8.66087537151972
2027-01-03,P1,12.7964555245845
2027-01-10,P1,13.450320315347103
2027-01-17,P1,11.867287628545942
2027-01-24,P1,10.038628361878137
2027-01-31,P1,11.086022572702856
2027-02-07,P1,14.284015323907571
2027-02-14,P1,17.58855450915173
2027-02-21,P1,16.104949403251613
2027-02-28,P1,12.95630131161121
2027-03-07,P1,12.04439466570388
2027-03-14,P1,13.221403874399787
2027-03-21,P1,15.070397876719404
2027-03-28,P1,15.070397876719404
2027-04-04,P1,13.290756751580128
2027-04-11,P1,11.87128972726566
2027-04-18,P1,11.631375326184495
2027-04-25,P1,11.860480230014767
2027-05-02,P1,10.74667871739066
2027-05-09,P1,8.58709351813824
2027-05-16,P1,7.4783521926521095
2027-05-23,P1,7.661128903173037
2027-05-30,P1,8.995337935058371
2027-06-06,P1,10.594887066765896
2027-06-13,P1,10.655680183375368
2027-06-20,P1,9.299156422846762
2027-06-27,P1,8.189510682518062
2027-07-04,P1,8.764716979093265
2027-07-11,P1,9.052166616472778
2027-07-18,P1,8.337449507853586
2027-07-25,P1,8.967574835606364
2027-08-01,P1,9.88225781021319
2027-08-08,P1,10.491443469693728
2027-08-15,P1,10.82729400327246
2027-08-22,P1,10.045573268537343
2027-08-29,P1,8.816329818925333
2027-09-05,P1,8.404226091228624
2027-09-12,P1,9.91274698818729
2027-09-19,P1,12.612713972986985
2027-09-26,P1,15.081991630080157
2027-10-03,P1,15.108612392079666
2027-10-10,P1,12.946327732703455
2027-10-17,P1,10.044234310622262
2027-10-24,P1,7.629862648893049
2027-10-31,P1,7.1871915032040805
2027-11-07,P1,7.895297920199346
2027-11-14,P1,9.785160599745092
2027-11-21,P1,10.826982238486561
2027-11-28,P1,9.472111335555017
2027-12-05,P1,6.901043203312281
2027-12-12,P1,5.051449501176198
2027-12-19,P1,5.386959642077924
2027-12-26,P1,8.43094781138681
2026-01-04,P10,19.803096759956603
2026-01-11,P10,19.803096759956603
2026-01-18,P10,19.803096759956603
2026-01-25,P10,20.939201261304916
2026-02-01,P10,20.939201261304916
2026-02-08,P10,20.939201261304916
2026-02-15,P10,19.803096759956603
2026-02-22,P10,19.803096759956603
2026-03-01,P10,20.939201261304916
2026-03-08,P10,23.087221141901875
2026-03-15,P10,24.76329658464536
2026-03-22,P10,24.76329658464536
2026-03-29,P10,21.47432466052456
2026-04-05,P10,19.32676337164606
2026-04-12,P10,17.055789885446607
2026-04-19,P10,17.055789885446607
2026-04-26,P10,19.33727221626771
2026-05-03,P10,20.95054372901425
2026-05-10,P10,23.073060244515588
2026-05-17,P10,23.003939976525725
2026-05-24,P10,21.378287905967454
2026-05-31,P10,20.989953353818752
2026-06-07,P10,19.399446584187295
2026-06-14,P10,19.631661461096414
2026-06-21,P10,20.457168848147788
2026-06-28,P10,22.514079787869598
2026-07-05,P10,19.414801579041058
2026-07-12,P10,13.157237527012644
2026-07-19,P10,11.883926860303761
2026-07-26,P10,11.883926860303761
2026-08-02,P10,15.087927265382925
2026-08-09,P10,19.740388418910474
2026-08-16,P10,21.342472870705326
2026-08-23,P10,17.600866916140056
2026-08-30,P10,12.961880275838066
2026-09-06,P10,12.039387843556902
2026-09-13,P10,14.252335984133051
2026-09-20,P10,18.31062770411854
2026-09-27,P10,19.833259428031518
2026-10-04,P10,17.575270587356215
2026-10-11,P10,14.277672814979457
2026-10-18,P10,13.223470164204176
2026-10-25,P10,14.043947969618042
2026-11-01,P10,15.072732814927926
2026-11-08,P10,15.064265670847087
2026-11-15,P10,14.27818318899462
2026-11-22,P10,14.284115808007044
2026-11-29,P10,15.204451377067063
2026-12-06,P10,17.609427871436615
2026-12-13,P10,19.349588594324164
